product_name,product_sku,warehouse,qty_in_warehouse,shelf_location
"Netball Top Design 3514 | Navy/Fluro Orange",1-STK-NET-TOP003-NVY/FLO-8,J20,0.0000,
"Elite Houston Netball Top | White/Black",1-STK-NET-TOP003-BLK/WHT-10,J20,3.0000,"A 08 D 1"
"Elite Houston Netball Top | White/Black",1-STK-NET-TOP003-BLK/WHT-12,J20,2.0000,"A 08 D 1"
"Elite Houston Netball Top | White/Black",1-STK-NET-TOP003-BLK/WHT-14,J20,5.0000,"A 08 D 1"
"Elite Houston Netball Top | Navy/White",1-STK-NET-TOP003-NVY/WHT-10,J20,2.0000,"A 08 D 3"
"Elite Houston Netball Top | Navy/White",1-STK-NET-TOP003-NVY/WHT-12,J20,5.0000,"A 08 D 3"
"Elite Houston Netball Top | Navy/White",1-STK-NET-TOP003-NVY/WHT-14,J20,5.0000,"A 08 D 3"
"Elite Houston Netball Top | Navy/White",1-STK-NET-TOP003-NVY/WHT-16,J20,3.0000,"A 07 E 1"
"Elite Houston Netball Top | Navy/White",1-STK-NET-TOP003-NVY/WHT-8,J20,3.0000,"A 08 D 3"
"Elite Houston Netball Top | White/Navy",1-STK-NET-TOP003-WHT/NVY-10,J20,4.0000,"A 07 E 1"
"Elite Houston Netball Top | White/Navy",1-STK-NET-TOP003-WHT/NVY-12,J20,4.0000,"A 07 E 1"
